date,employee_id,check_in,check_out,status
2024-01-02,E001,08:02,17:05,present
2024-01-02,E002,08:45,17:00,late
2024-01-02,E003,08:00,17:00,present
2024-01-02,E004,09:30,17:00,late
2024-01-02,E005,08:05,17:00,present
2024-01-02,E006,08:00,17:00,present
2024-01-02,E007,,,absent
2024-01-02,E008,08:10,17:00,present
2024-01-03,E001,08:00,17:00,present
2024-01-03,E002,08:00,17:00,present
2024-01-03,E003,,,absent
2024-01-03,E004,08:00,17:00,present
2024-01-03,E005,08:00,17:00,present
2024-01-03,E006,09:15,17:00,late
2024-01-03,E007,08:00,17:00,present
2024-01-03,E008,08:00,17:00,present
2024-01-04,E001,08:00,17:00,present
2024-01-04,E002,08:00,17:00,present
2024-01-04,E003,08:00,17:00,present
2024-01-04,E004,08:00,17:00,present
2024-01-04,E005,,,absent
2024-01-04,E006,08:00,17:00,present
2024-01-04,E007,08:00,17:00,present
2024-01-04,E008,09:45,17:00,late
2024-01-05,E001,08:00,17:00,present
2024-01-05,E002,,,absent
2024-01-05,E003,08:00,17:00,present
2024-01-05,E004,08:00,17:00,present
2024-01-05,E005,08:00,17:00,present
2024-01-05,E006,08:00,17:00,present
2024-01-05,E007,08:00,17:00,present
2024-01-05,E008,08:00,17:00,present
